Timestep,Iteration,Total Reward,Suboptimal Arms,Regret,Zeros Count,Ones Count
2,1,2,1,0.1,0,2
3,1,2,1,0.1,1,2
100,1,85,26,2.6,15,85
200,1,169,68,6.8,31,169
2000,1,1766,453,45.3,234,1766
10000,1,8917,1187,118.7,1083,8917
20000,1,17856,911,91.1,2144,17856
40000,1,35813,1754,175.4,4187,35813
60000,1,53870,1430,143.0,6130,53870
80000,1,71996,1620,162.0,8004,71996
100000,1,89824,2198,219.8,10176,89824
2,2,2,1,0.1,0,2
3,2,2,1,0.1,1,2
100,2,86,50,5.0,14,86
200,2,183,77,7.7,17,183
2000,2,1765,397,39.7,235,1765
10000,2,8938,769,76.9,1062,8938
20000,2,17916,1209,120.9,2084,17916
40000,2,35867,1791,179.1,4133,35867
60000,2,53924,1396,139.6,6076,53924
80000,2,71856,1131,113.1,8144,71856
100000,2,89868,1697,169.7,10132,89868
2,3,2,1,0.1,0,2
3,3,2,2,0.2,1,2
100,3,87,27,2.7,13,87
200,3,175,64,6.4,25,175
2000,3,1751,511,51.1,249,1751
10000,3,8908,878,87.8,1092,8908
20000,3,17905,1168,116.8,2095,17905
40000,3,35825,1943,194.3,4175,35825
60000,3,53876,1329,132.9,6124,53876
80000,3,71763,1759,175.9,8237,71763
100000,3,89743,1758,175.8,10257,89743
2,4,0,1,0.1,2,0
3,4,3,1,0.1,0,3
100,4,85,42,4.2,15,85
200,4,174,67,6.7,26,174
2000,4,1776,337,33.7,224,1776
10000,4,8932,906,90.6,1068,8932
20000,4,17908,979,97.9,2092,17908
40000,4,35881,1363,136.3,4119,35881
60000,4,53814,1841,184.1,6186,53814
80000,4,71792,1334,133.4,8208,71792
100000,4,89634,1614,161.4,10366,89634
2,5,2,1,0.1,0,2
3,5,3,1,0.1,0,3
100,5,89,30,3.0,11,89
200,5,180,72,7.2,20,180
2000,5,1768,290,29.0,232,1768
10000,5,8940,1133,113.3,1060,8940
20000,5,17883,993,99.3,2117,17883
40000,5,35898,1265,126.5,4102,35898
60000,5,53838,1220,122.0,6162,53838
80000,5,71921,1680,168.0,8079,71921
100000,5,89753,2076,207.6,10247,89753
2,6,1,1,0.1,1,1
3,6,3,1,0.1,0,3
100,6,87,39,3.9,13,87
200,6,174,61,6.1,26,174
2000,6,1782,580,58.0,218,1782
10000,6,8897,868,86.8,1103,8897
20000,6,17929,1146,114.6,2071,17929
40000,6,35946,1320,132.0,4054,35946
60000,6,53906,1717,171.7,6094,53906
80000,6,71898,1814,181.4,8102,71898
100000,6,89858,1697,169.7,10142,89858
2,7,2,1,0.1,0,2
3,7,1,2,0.2,2,1
100,7,88,36,3.6,12,88
200,7,177,69,6.9,23,177
2000,7,1768,433,43.3,232,1768
10000,7,8874,812,81.2,1126,8874
20000,7,17825,1351,135.1,2175,17825
40000,7,35812,1381,138.1,4188,35812
60000,7,54047,1250,125.0,5953,54047
80000,7,71756,1366,136.6,8244,71756
100000,7,89800,1556,155.6,10200,89800
2,8,2,1,0.1,0,2
3,8,3,1,0.1,0,3
100,8,80,15,1.5,20,80
200,8,166,49,4.9,34,166
2000,8,1750,448,44.8,250,1750
10000,8,8864,894,89.4,1136,8864
20000,8,17941,1003,100.3,2059,17941
40000,8,35877,1311,131.1,4123,35877
60000,8,53970,1647,164.7,6030,53970
80000,8,71753,1706,170.6,8247,71753
100000,8,89714,2230,223.0,10286,89714
2,9,0,1,0.1,2,0
3,9,2,1,0.1,1,2
100,9,94,43,4.3,6,94
200,9,170,62,6.2,30,170
2000,9,1762,355,35.5,238,1762
10000,9,8910,1018,101.8,1090,8910
20000,9,17917,1197,119.7,2083,17917
40000,9,35912,1153,115.3,4088,35912
60000,9,53741,1679,167.9,6259,53741
80000,9,71868,1905,190.5,8132,71868
100000,9,89886,2007,200.7,10114,89886
2,10,2,1,0.1,0,2
3,10,3,1,0.1,0,3
100,10,86,43,4.3,14,86
200,10,172,82,8.2,28,172
2000,10,1759,411,41.1,241,1759
10000,10,8897,707,70.7,1103,8897
20000,10,17842,1128,112.8,2158,17842
40000,10,35923,1397,139.7,4077,35923
60000,10,53749,1491,149.1,6251,53749
80000,10,71842,1464,146.4,8158,71842
100000,10,89695,2332,233.2,10305,89695
2,11,2,1,0.1,0,2
3,11,3,1,0.1,0,3
100,11,91,33,3.3,9,91
200,11,167,55,5.5,33,167
2000,11,1743,251,25.1,257,1743
10000,11,8889,1007,100.7,1111,8889
20000,11,17872,1266,126.6,2128,17872
40000,11,35877,1492,149.2,4123,35877
60000,11,53758,1881,188.1,6242,53758
80000,11,71573,2041,204.1,8427,71573
100000,11,89709,1358,135.8,10291,89709
2,12,2,1,0.1,0,2
3,12,3,1,0.1,0,3
100,12,78,48,4.8,22,78
200,12,178,29,2.9,22,178
2000,12,1807,331,33.1,193,1807
10000,12,8913,938,93.8,1087,8913
20000,12,17897,974,97.4,2103,17897
40000,12,35835,1258,125.8,4165,35835
60000,12,53874,1643,164.3,6126,53874
80000,12,71693,2097,209.7,8307,71693
100000,12,89722,1406,140.6,10278,89722
2,13,1,1,0.1,1,1
3,13,3,1,0.1,0,3
100,13,85,45,4.5,15,85
200,13,171,88,8.8,29,171
2000,13,1780,325,32.5,220,1780
10000,13,8929,802,80.2,1071,8929
20000,13,17777,1225,122.5,2223,17777
40000,13,35719,1191,119.1,4281,35719
60000,13,53911,1359,135.9,6089,53911
80000,13,71947,1452,145.2,8053,71947
100000,13,89787,2211,221.1,10213,89787
2,14,2,1,0.1,0,2
3,14,2,2,0.2,1,2
100,14,88,39,3.9,12,88
200,14,182,70,7.0,18,182
2000,14,1767,256,25.6,233,1767
10000,14,8925,733,73.3,1075,8925
20000,14,17879,1048,104.8,2121,17879
40000,14,35924,1220,122.0,4076,35924
60000,14,53952,1392,139.2,6048,53952
80000,14,71989,1891,189.1,8011,71989
100000,14,89922,1684,168.4,10078,89922
2,15,2,1,0.1,0,2
3,15,3,1,0.1,0,3
100,15,86,50,5.0,14,86
200,15,176,77,7.7,24,176
2000,15,1790,392,39.2,210,1790
10000,15,8922,1055,105.5,1078,8922
20000,15,17900,1457,145.7,2100,17900
40000,15,35800,1439,143.9,4200,35800
60000,15,53814,1635,163.5,6186,53814
80000,15,71941,1619,161.9,8059,71941
100000,15,89824,1817,181.7,10176,89824
2,16,2,1,0.1,0,2
3,16,3,1,0.1,0,3
100,16,86,35,3.5,14,86
200,16,176,74,7.4,24,176
2000,16,1756,372,37.2,244,1756
10000,16,8880,1068,106.8,1120,8880
20000,16,17835,916,91.6,2165,17835
40000,16,35809,1093,109.3,4191,35809
60000,16,53853,1696,169.6,6147,53853
80000,16,71837,1634,163.4,8163,71837
100000,16,89736,2240,224.0,10264,89736
2,17,2,1,0.1,0,2
3,17,3,1,0.1,0,3
100,17,89,42,4.2,11,89
200,17,178,66,6.6,22,178
2000,17,1762,435,43.5,238,1762
10000,17,8922,688,68.8,1078,8922
20000,17,17938,1043,104.3,2062,17938
40000,17,35860,1369,136.9,4140,35860
60000,17,53948,1767,176.7,6052,53948
80000,17,71707,2054,205.4,8293,71707
100000,17,89887,2267,226.7,10113,89887
2,18,2,1,0.1,0,2
3,18,2,1,0.1,1,2
100,18,84,34,3.4,16,84
200,18,168,77,7.7,32,168
2000,18,1763,400,40.0,237,1763
10000,18,8909,884,88.4,1091,8909
20000,18,17880,1289,128.9,2120,17880
40000,18,35858,1460,146.0,4142,35858
60000,18,53782,1623,162.3,6218,53782
80000,18,71854,1970,197.0,8146,71854
100000,18,89816,1719,171.9,10184,89816
2,19,2,1,0.1,0,2
3,19,3,1,0.1,0,3
100,19,85,39,3.9,15,85
200,19,177,55,5.5,23,177
2000,19,1756,367,36.7,244,1756
10000,19,8859,968,96.8,1141,8859
20000,19,17859,1190,119.0,2141,17859
40000,19,35948,1148,114.8,4052,35948
60000,19,53899,1573,157.3,6101,53899
80000,19,71751,1579,157.9,8249,71751
100000,19,89746,1765,176.5,10254,89746
2,20,2,1,0.1,0,2
3,20,2,1,0.1,1,2
100,20,85,26,2.6,15,85
200,20,173,58,5.8,27,173
2000,20,1782,150,15.0,218,1782
10000,20,8890,905,90.5,1110,8890
20000,20,17851,1037,103.7,2149,17851
40000,20,35804,1134,113.4,4196,35804
60000,20,53941,1275,127.5,6059,53941
80000,20,71793,1558,155.8,8207,71793
100000,20,89824,1890,189.0,10176,89824
2,21,2,1,0.1,0,2
3,21,3,1,0.1,0,3
100,21,87,59,5.9,13,87
200,21,181,77,7.7,19,181
2000,21,1742,439,43.9,258,1742
10000,21,8886,767,76.7,1114,8886
20000,21,17880,862,86.2,2120,17880
40000,21,35897,1449,144.9,4103,35897
60000,21,53780,2044,204.4,6220,53780
80000,21,71728,1703,170.3,8272,71728
100000,21,89858,2211,221.1,10142,89858
2,22,1,1,0.1,1,1
3,22,3,1,0.1,0,3
100,22,83,63,6.3,17,83
200,22,162,60,6.0,38,162
2000,22,1772,300,30.0,228,1772
10000,22,8986,661,66.1,1014,8986
20000,22,17990,1084,108.4,2010,17990
40000,22,35848,1576,157.6,4152,35848
60000,22,53864,1526,152.6,6136,53864
80000,22,71959,1469,146.9,8041,71959
100000,22,89762,1472,147.2,10238,89762
2,23,1,1,0.1,1,1
3,23,2,1,0.1,1,2
100,23,88,32,3.2,12,88
200,23,175,71,7.1,25,175
2000,23,1759,414,41.4,241,1759
10000,23,8897,916,91.6,1103,8897
20000,23,17933,1376,137.6,2067,17933
40000,23,35996,1316,131.6,4004,35996
60000,23,53757,1571,157.1,6243,53757
80000,23,71788,1428,142.8,8212,71788
100000,23,89912,2131,213.1,10088,89912
2,24,2,1,0.1,0,2
3,24,3,1,0.1,0,3
100,24,84,25,2.5,16,84
200,24,171,59,5.9,29,171
2000,24,1761,463,46.3,239,1761
10000,24,8848,1224,122.4,1152,8848
20000,24,17899,1155,115.5,2101,17899
40000,24,35928,1323,132.3,4072,35928
60000,24,53958,1434,143.4,6042,53958
80000,24,71731,1991,199.1,8269,71731
100000,24,89706,1908,190.8,10294,89706
2,25,1,1,0.1,1,1
3,25,2,2,0.2,1,2
100,25,86,35,3.5,14,86
200,25,173,67,6.7,27,173
2000,25,1756,289,28.9,244,1756
10000,25,8863,831,83.1,1137,8863
20000,25,17991,831,83.1,2009,17991
40000,25,35908,1210,121.0,4092,35908
60000,25,53940,1123,112.3,6060,53940
80000,25,71870,1448,144.8,8130,71870
100000,25,89799,1978,197.8,10201,89799
2,26,2,1,0.1,0,2
3,26,2,2,0.2,1,2
100,26,87,29,2.9,13,87
200,26,163,52,5.2,37,163
2000,26,1761,336,33.6,239,1761
10000,26,8948,720,72.0,1052,8948
20000,26,17866,1350,135.0,2134,17866
40000,26,35922,1411,141.1,4078,35922
60000,26,53703,1435,143.5,6297,53703
80000,26,71802,1531,153.1,8198,71802
100000,26,89884,1282,128.2,10116,89884
2,27,2,1,0.1,0,2
3,27,1,1,0.1,2,1
100,27,87,45,4.5,13,87
200,27,170,77,7.7,30,170
2000,27,1740,455,45.5,260,1740
10000,27,8933,789,78.9,1067,8933
20000,27,17796,1208,120.8,2204,17796
40000,27,35917,967,96.7,4083,35917
60000,27,53916,1485,148.5,6084,53916
80000,27,71841,1952,195.2,8159,71841
100000,27,89917,2043,204.3,10083,89917
2,28,1,1,0.1,1,1
3,28,3,1,0.1,0,3
100,28,86,35,3.5,14,86
200,28,181,60,6.0,19,181
2000,28,1775,318,31.8,225,1775
10000,28,8895,908,90.8,1105,8895
20000,28,17878,1101,110.1,2122,17878
40000,28,35872,1301,130.1,4128,35872
60000,28,53667,2313,231.3,6333,53667
80000,28,71875,1509,150.9,8125,71875
100000,28,89898,2474,247.4,10102,89898
2,29,2,1,0.1,0,2
3,29,2,1,0.1,1,2
100,29,87,45,4.5,13,87
200,29,171,56,5.6,29,171
2000,29,1743,613,61.3,257,1743
10000,29,8878,745,74.5,1122,8878
20000,29,17917,1103,110.3,2083,17917
40000,29,36022,966,96.6,3978,36022
60000,29,53922,1361,136.1,6078,53922
80000,29,71980,1304,130.4,8020,71980
100000,29,89718,2222,222.2,10282,89718
2,30,2,1,0.1,0,2
3,30,3,1,0.1,0,3
100,30,83,50,5.0,17,83
200,30,168,56,5.6,32,168
2000,30,1741,490,49.0,259,1741
10000,30,8875,1209,120.9,1125,8875
20000,30,17877,1113,111.3,2123,17877
40000,30,35908,1578,157.8,4092,35908
60000,30,53760,1298,129.8,6240,53760
80000,30,71709,1799,179.9,8291,71709
100000,30,89899,1707,170.7,10101,89899
2,31,2,1,0.1,0,2
3,31,2,1,0.1,1,2
100,31,80,50,5.0,20,80
200,31,179,74,7.4,21,179
2000,31,1749,373,37.3,251,1749
10000,31,8940,801,80.1,1060,8940
20000,31,17885,924,92.4,2115,17885
40000,31,35898,1736,173.6,4102,35898
60000,31,53945,1592,159.2,6055,53945
80000,31,71818,1683,168.3,8182,71818
100000,31,89831,1671,167.1,10169,89831
2,32,2,1,0.1,0,2
3,32,3,1,0.1,0,3
100,32,89,45,4.5,11,89
200,32,178,68,6.8,22,178
2000,32,1755,501,50.1,245,1755
10000,32,8892,864,86.4,1108,8892
20000,32,17926,1001,100.1,2074,17926
40000,32,35821,1543,154.3,4179,35821
60000,32,53623,2108,210.8,6377,53623
80000,32,71775,1523,152.3,8225,71775
100000,32,89928,1264,126.4,10072,89928
2,33,2,1,0.1,0,2
3,33,2,1,0.1,1,2
100,33,92,37,3.7,8,92
200,33,173,77,7.7,27,173
2000,33,1751,529,52.9,249,1751
10000,33,8904,943,94.3,1096,8904
20000,33,17897,851,85.1,2103,17897
40000,33,35811,1188,118.8,4189,35811
60000,33,53927,1230,123.0,6073,53927
80000,33,71712,1651,165.1,8288,71712
100000,33,89807,1705,170.5,10193,89807
2,34,2,1,0.1,0,2
3,34,3,1,0.1,0,3
100,34,87,38,3.8,13,87
200,34,174,67,6.7,26,174
2000,34,1734,373,37.3,266,1734
10000,34,8954,857,85.7,1046,8954
20000,34,17902,1355,135.5,2098,17902
40000,34,35869,2036,203.6,4131,35869
60000,34,53910,1318,131.8,6090,53910
80000,34,71819,1581,158.1,8181,71819
100000,34,89838,1743,174.3,10162,89838
2,35,2,1,0.1,0,2
3,35,2,1,0.1,1,2
100,35,86,50,5.0,14,86
200,35,170,62,6.2,30,170
2000,35,1749,416,41.6,251,1749
10000,35,8932,723,72.3,1068,8932
20000,35,17946,1099,109.9,2054,17946
40000,35,35920,1433,143.3,4080,35920
60000,35,53809,2087,208.7,6191,53809
80000,35,71721,1990,199.0,8279,71721
100000,35,90015,1531,153.1,9985,90015
2,36,2,1,0.1,0,2
3,36,2,1,0.1,1,2
100,36,93,47,4.7,7,93
200,36,177,59,5.9,23,177
2000,36,1757,254,25.4,243,1757
10000,36,8865,866,86.6,1135,8865
20000,36,17894,1252,125.2,2106,17894
40000,36,35823,1882,188.2,4177,35823
60000,36,53930,1649,164.9,6070,53930
80000,36,71811,1421,142.1,8189,71811
100000,36,89906,1521,152.1,10094,89906
2,37,1,1,0.1,1,1
3,37,3,1,0.1,0,3
100,37,87,26,2.6,13,87
200,37,172,58,5.8,28,172
2000,37,1760,438,43.8,240,1760
10000,37,8855,500,50.0,1145,8855
20000,37,17782,977,97.7,2218,17782
40000,37,35801,1337,133.7,4199,35801
60000,37,53938,1532,153.2,6062,53938
80000,37,71786,1805,180.5,8214,71786
100000,37,89781,1658,165.8,10219,89781
2,38,1,1,0.1,1,1
3,38,2,1,0.1,1,2
100,38,87,29,2.9,13,87
200,38,177,68,6.8,23,177
2000,38,1743,534,53.4,257,1743
10000,38,8852,762,76.2,1148,8852
20000,38,17851,1167,116.7,2149,17851
40000,38,35832,1286,128.6,4168,35832
60000,38,53941,1487,148.7,6059,53941
80000,38,71757,1837,183.7,8243,71757
100000,38,89877,1613,161.3,10123,89877
2,39,0,1,0.1,2,0
3,39,3,1,0.1,0,3
100,39,89,45,4.5,11,89
200,39,174,72,7.2,26,174
2000,39,1772,407,40.7,228,1772
10000,39,8920,899,89.9,1080,8920
20000,39,17855,1114,111.4,2145,17855
40000,39,35834,1216,121.6,4166,35834
60000,39,53796,1259,125.9,6204,53796
80000,39,72033,1903,190.3,7967,72033
100000,39,89625,1802,180.2,10375,89625
2,40,2,1,0.1,0,2
3,40,3,1,0.1,0,3
100,40,82,28,2.8,18,82
200,40,172,75,7.5,28,172
2000,40,1761,324,32.4,239,1761
10000,40,8976,572,57.2,1024,8976
20000,40,17872,1114,111.4,2128,17872
40000,40,35780,1759,175.9,4220,35780
60000,40,53841,1356,135.6,6159,53841
80000,40,71802,1591,159.1,8198,71802
100000,40,89687,1947,194.7,10313,89687
2,41,1,1,0.1,1,1
3,41,2,2,0.2,1,2
100,41,85,42,4.2,15,85
200,41,179,66,6.6,21,179
2000,41,1739,427,42.7,261,1739
10000,41,8953,746,74.6,1047,8953
20000,41,17916,1216,121.6,2084,17916
40000,41,35817,1108,110.8,4183,35817
60000,41,53764,1019,101.9,6236,53764
80000,41,71944,1661,166.1,8056,71944
100000,41,89793,2218,221.8,10207,89793
2,42,2,1,0.1,0,2
3,42,2,2,0.2,1,2
100,42,91,55,5.5,9,91
200,42,178,61,6.1,22,178
2000,42,1776,235,23.5,224,1776
10000,42,8990,654,65.4,1010,8990
20000,42,17930,1124,112.4,2070,17930
40000,42,35878,1421,142.1,4122,35878
60000,42,53908,1293,129.3,6092,53908
80000,42,71822,2298,229.8,8178,71822
100000,42,90062,1642,164.2,9938,90062
2,43,2,1,0.1,0,2
3,43,3,1,0.1,0,3
100,43,84,36,3.6,16,84
200,43,172,47,4.7,28,172
2000,43,1760,384,38.4,240,1760
10000,43,8916,965,96.5,1084,8916
20000,43,17948,1108,110.8,2052,17948
40000,43,35762,1484,148.4,4238,35762
60000,43,54080,1603,160.3,5920,54080
80000,43,71879,1157,115.7,8121,71879
100000,43,90010,1707,170.7,9990,90010
2,44,1,1,0.1,1,1
3,44,2,1,0.1,1,2
100,44,90,30,3.0,10,90
200,44,176,82,8.2,24,176
2000,44,1777,322,32.2,223,1777
10000,44,8919,987,98.7,1081,8919
20000,44,17903,1276,127.6,2097,17903
40000,44,35816,1363,136.3,4184,35816
60000,44,53904,1445,144.5,6096,53904
80000,44,72016,1575,157.5,7984,72016
100000,44,90027,1685,168.5,9973,90027
2,45,1,1,0.1,1,1
3,45,3,1,0.1,0,3
100,45,86,39,3.9,14,86
200,45,175,68,6.8,25,175
2000,45,1783,311,31.1,217,1783
10000,45,8886,920,92.0,1114,8886
20000,45,17834,1202,120.2,2166,17834
40000,45,35827,1063,106.3,4173,35827
60000,45,53955,1424,142.4,6045,53955
80000,45,71871,1513,151.3,8129,71871
100000,45,89700,1801,180.1,10300,89700
2,46,2,1,0.1,0,2
3,46,2,1,0.1,1,2
100,46,94,38,3.8,6,94
200,46,171,64,6.4,29,171
2000,46,1761,386,38.6,239,1761
10000,46,8912,848,84.8,1088,8912
20000,46,17877,1414,141.4,2123,17877
40000,46,35819,908,90.8,4181,35819
60000,46,53798,1600,160.0,6202,53798
80000,46,71901,1829,182.9,8099,71901
100000,46,89931,1461,146.1,10069,89931
2,47,1,1,0.1,1,1
3,47,2,1,0.1,1,2
100,47,85,42,4.2,15,85
200,47,171,77,7.7,29,171
2000,47,1760,313,31.3,240,1760
10000,47,8873,985,98.5,1127,8873
20000,47,17857,997,99.7,2143,17857
40000,47,35856,1255,125.5,4144,35856
60000,47,53932,1684,168.4,6068,53932
80000,47,71936,1693,169.3,8064,71936
100000,47,89763,1998,199.8,10237,89763
2,48,2,1,0.1,0,2
3,48,3,1,0.1,0,3
100,48,88,39,3.9,12,88
200,48,171,76,7.6,29,171
2000,48,1734,474,47.4,266,1734
10000,48,8869,1148,114.8,1131,8869
20000,48,17954,688,68.8,2046,17954
40000,48,35860,1524,152.4,4140,35860
60000,48,53928,1893,189.3,6072,53928
80000,48,71954,1541,154.1,8046,71954
100000,48,89846,1631,163.1,10154,89846
2,49,2,1,0.1,0,2
3,49,3,1,0.1,0,3
100,49,83,39,3.9,17,83
200,49,173,67,6.7,27,173
2000,49,1773,310,31.0,227,1773
10000,49,8879,950,95.0,1121,8879
20000,49,17946,1152,115.2,2054,17946
40000,49,35938,1571,157.1,4062,35938
60000,49,53796,1879,187.9,6204,53796
80000,49,71686,2183,218.3,8314,71686
100000,49,89898,1830,183.0,10102,89898
2,50,2,1,0.1,0,2
3,50,3,1,0.1,0,3
100,50,92,43,4.3,8,92
200,50,174,65,6.5,26,174
2000,50,1773,254,25.4,227,1773
10000,50,8914,956,95.6,1086,8914
20000,50,17956,964,96.4,2044,17956
40000,50,35777,1513,151.3,4223,35777
60000,50,53833,1825,182.5,6167,53833
80000,50,71874,1832,183.2,8126,71874
100000,50,89790,1902,190.2,10210,89790
2,51,2,1,0.1,0,2
