Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.0,1,1
3,1,1,1,0.0,2,1
100,1,95,59,0.3,5,95
200,1,176,100,0.5,24,176
2000,1,1782,966,4.8,218,1782
10000,1,9025,5251,26.3,975,9025
20000,1,17928,8183,40.9,2072,17928
40000,1,35958,14097,70.5,4042,35958
60000,1,53756,22385,111.9,6244,53756
80000,1,72005,29280,146.4,7995,72005
100000,1,89779,42294,211.5,10221,89779
2,2,2,1,0.0,0,2
3,2,3,1,0.0,0,3
100,2,87,44,0.2,13,87
200,2,178,120,0.6,22,178
2000,2,1782,1079,5.4,218,1782
10000,2,8973,4240,21.2,1027,8973
20000,2,17888,6474,32.4,2112,17888
40000,2,35863,16932,84.7,4137,35863
60000,2,53957,27828,139.1,6043,53957
80000,2,71974,31593,158.0,8026,71974
100000,2,89777,42415,212.1,10223,89777
2,3,2,1,0.0,0,2
3,3,3,1,0.0,0,3
100,3,87,44,0.2,13,87
200,3,180,100,0.5,20,180
2000,3,1787,892,4.5,213,1787
10000,3,9016,4273,21.4,984,9016
20000,3,17976,9493,47.5,2024,17976
40000,3,35885,19010,95.0,4115,35885
60000,3,53817,28973,144.9,6183,53817
80000,3,71967,33236,166.2,8033,71967
100000,3,89810,38742,193.7,10190,89810
2,4,2,1,0.0,0,2
3,4,3,1,0.0,0,3
100,4,83,58,0.3,17,83
200,4,177,109,0.5,23,177
2000,4,1806,918,4.6,194,1806
10000,4,8894,4855,24.3,1106,8894
20000,4,17923,8311,41.6,2077,17923
40000,4,35946,19237,96.2,4054,35946
60000,4,53811,23606,118.0,6189,53811
80000,4,71911,38237,191.2,8089,71911
100000,4,89719,45892,229.5,10281,89719
2,5,1,1,0.0,1,1
3,5,2,1,0.0,1,2
100,5,90,44,0.2,10,90
200,5,183,85,0.4,17,183
2000,5,1802,1098,5.5,198,1802
10000,5,8961,4690,23.4,1039,8961
20000,5,17922,7934,39.7,2078,17922
40000,5,35944,18078,90.4,4056,35944
60000,5,53921,20292,101.5,6079,53921
80000,5,71823,29248,146.2,8177,71823
100000,5,89804,48829,244.1,10196,89804
2,6,2,1,0.0,0,2
3,6,3,1,0.0,0,3
100,6,86,54,0.3,14,86
200,6,182,58,0.3,18,182
2000,6,1819,902,4.5,181,1819
10000,6,9009,4284,21.4,991,9009
20000,6,17961,7970,39.9,2039,17961
40000,6,35917,17249,86.2,4083,35917
60000,6,53848,26270,131.3,6152,53848
80000,6,71741,33549,167.7,8259,71741
100000,6,89852,42910,214.5,10148,89852
2,7,2,1,0.0,0,2
3,7,3,1,0.0,0,3
100,7,87,57,0.3,13,87
200,7,179,103,0.5,21,179
2000,7,1799,902,4.5,201,1799
10000,7,8999,4088,20.4,1001,8999
20000,7,17885,8185,40.9,2115,17885
40000,7,35914,18389,91.9,4086,35914
60000,7,53877,23857,119.3,6123,53877
80000,7,71935,25792,129.0,8065,71935
100000,7,89921,37325,186.6,10079,89921
2,8,2,1,0.0,0,2
3,8,3,1,0.0,0,3
100,8,89,51,0.3,11,89
200,8,179,129,0.6,21,179
2000,8,1798,841,4.2,202,1798
10000,8,8950,4975,24.9,1050,8950
20000,8,17964,10234,51.2,2036,17964
40000,8,35997,13288,66.4,4003,35997
60000,8,53948,24860,124.3,6052,53948
80000,8,71799,25106,125.5,8201,71799
100000,8,89888,38988,194.9,10112,89888
2,9,1,1,0.0,1,1
3,9,3,1,0.0,0,3
100,9,84,27,0.1,16,84
200,9,185,106,0.5,15,185
2000,9,1787,953,4.8,213,1787
10000,9,8959,5081,25.4,1041,8959
20000,9,17921,10165,50.8,2079,17921
40000,9,35914,16105,80.5,4086,35914
60000,9,53944,23970,119.8,6056,53944
80000,9,71978,29901,149.5,8022,71978
100000,9,89863,36809,184.0,10137,89863
2,10,1,1,0.0,1,1
3,10,2,1,0.0,1,2
100,10,90,41,0.2,10,90
200,10,181,93,0.5,19,181
2000,10,1779,1114,5.6,221,1779
10000,10,8996,4468,22.3,1004,8996
20000,10,17882,8013,40.1,2118,17882
40000,10,35935,17134,85.7,4065,35935
60000,10,53936,24960,124.8,6064,53936
80000,10,71754,29795,149.0,8246,71754
100000,10,89849,37592,188.0,10151,89849
2,11,2,1,0.0,0,2
3,11,3,1,0.0,0,3
100,11,84,51,0.3,16,84
200,11,183,79,0.4,17,183
2000,11,1806,954,4.8,194,1806
10000,11,8989,4948,24.7,1011,8989
20000,11,17947,9267,46.3,2053,17947
40000,11,35915,16497,82.5,4085,35915
60000,11,53870,29810,149.0,6130,53870
80000,11,71845,33797,169.0,8155,71845
100000,11,89725,34166,170.8,10275,89725
2,12,2,1,0.0,0,2
3,12,3,1,0.0,0,3
100,12,91,46,0.2,9,91
200,12,179,83,0.4,21,179
2000,12,1775,1114,5.6,225,1775
10000,12,9017,4255,21.3,983,9017
20000,12,17975,10417,52.1,2025,17975
40000,12,35872,16631,83.2,4128,35872
60000,12,53823,20367,101.8,6177,53823
80000,12,71726,28696,143.5,8274,71726
100000,12,89735,32779,163.9,10265,89735
2,13,2,1,0.0,0,2
3,13,3,1,0.0,0,3
100,13,88,40,0.2,12,88
200,13,176,79,0.4,24,176
2000,13,1772,987,4.9,228,1772
10000,13,9000,4594,23.0,1000,9000
20000,13,17976,7405,37.0,2024,17976
40000,13,35960,15682,78.4,4040,35960
60000,13,53911,23371,116.9,6089,53911
80000,13,71792,33177,165.9,8208,71792
100000,13,89675,38552,192.8,10325,89675
2,14,2,1,0.0,0,2
3,14,3,1,0.0,0,3
100,14,85,58,0.3,15,85
200,14,174,101,0.5,26,174
2000,14,1805,974,4.9,195,1805
10000,14,8983,4381,21.9,1017,8983
20000,14,17876,9162,45.8,2124,17876
40000,14,35972,16029,80.1,4028,35972
60000,14,53788,27971,139.9,6212,53788
80000,14,71828,38135,190.7,8172,71828
100000,14,89757,43854,219.3,10243,89757
2,15,2,1,0.0,0,2
3,15,3,1,0.0,0,3
100,15,89,45,0.2,11,89
200,15,183,94,0.5,17,183
2000,15,1801,887,4.4,199,1801
10000,15,8993,4327,21.6,1007,8993
20000,15,17955,9308,46.5,2045,17955
40000,15,35933,14370,71.9,4067,35933
60000,15,53978,26890,134.4,6022,53978
80000,15,71657,36163,180.8,8343,71657
100000,15,89784,41009,205.0,10216,89784
2,16,2,1,0.0,0,2
3,16,3,1,0.0,0,3
100,16,89,53,0.3,11,89
200,16,171,108,0.5,29,171
2000,16,1801,1024,5.1,199,1801
10000,16,8978,5715,28.6,1022,8978
20000,16,17953,9957,49.8,2047,17953
40000,16,35876,19245,96.2,4124,35876
60000,16,53922,28054,140.3,6078,53922
80000,16,71834,29894,149.5,8166,71834
100000,16,89633,35821,179.1,10367,89633
2,17,2,1,0.0,0,2
3,17,3,1,0.0,0,3
100,17,92,54,0.3,8,92
200,17,175,111,0.6,25,175
2000,17,1768,875,4.4,232,1768
10000,17,8959,4988,24.9,1041,8959
20000,17,17940,9019,45.1,2060,17940
40000,17,35915,15904,79.5,4085,35915
60000,17,53960,23835,119.2,6040,53960
80000,17,71755,33976,169.9,8245,71755
100000,17,89737,33220,166.1,10263,89737
2,18,2,1,0.0,0,2
3,18,3,1,0.0,0,3
100,18,94,53,0.3,6,94
200,18,188,107,0.5,12,188
2000,18,1797,920,4.6,203,1797
10000,18,8972,4441,22.2,1028,8972
20000,18,18064,9527,47.6,1936,18064
40000,18,35887,18990,94.9,4113,35887
60000,18,53709,31008,155.0,6291,53709
80000,18,71820,29231,146.2,8180,71820
100000,18,89936,36616,183.1,10064,89936
2,19,2,1,0.0,0,2
3,19,3,1,0.0,0,3
100,19,89,55,0.3,11,89
200,19,178,101,0.5,22,178
2000,19,1795,904,4.5,205,1795
10000,19,9013,4636,23.2,987,9013
20000,19,18010,8630,43.2,1990,18010
40000,19,35888,16050,80.2,4112,35888
60000,19,53902,22881,114.4,6098,53902
80000,19,71762,33286,166.4,8238,71762
100000,19,89793,40943,204.7,10207,89793
2,20,2,1,0.0,0,2
3,20,3,1,0.0,0,3
100,20,87,48,0.2,13,87
200,20,178,101,0.5,22,178
2000,20,1806,1070,5.3,194,1806
10000,20,9001,5052,25.3,999,9001
20000,20,17927,9941,49.7,2073,17927
40000,20,35884,16528,82.6,4116,35884
60000,20,53899,26155,130.8,6101,53899
80000,20,71894,33924,169.6,8106,71894
100000,20,89790,46380,231.9,10210,89790
2,21,2,1,0.0,0,2
3,21,3,1,0.0,0,3
100,21,94,50,0.3,6,94
200,21,173,117,0.6,27,173
2000,21,1789,720,3.6,211,1789
10000,21,9021,4811,24.1,979,9021
20000,21,18020,8381,41.9,1980,18020
40000,21,35937,16139,80.7,4063,35937
60000,21,53981,25643,128.2,6019,53981
80000,21,71851,35990,179.9,8149,71851
100000,21,89822,39373,196.9,10178,89822
2,22,1,1,0.0,1,1
3,22,3,1,0.0,0,3
100,22,89,52,0.3,11,89
200,22,170,100,0.5,30,170
2000,22,1794,987,4.9,206,1794
10000,22,8946,4029,20.1,1054,8946
20000,22,17989,8222,41.1,2011,17989
40000,22,35988,17118,85.6,4012,35988
60000,22,53927,27851,139.3,6073,53927
80000,22,71833,28066,140.3,8167,71833
100000,22,89911,42982,214.9,10089,89911
2,23,2,1,0.0,0,2
3,23,3,1,0.0,0,3
100,23,91,46,0.2,9,91
200,23,180,93,0.5,20,180
2000,23,1782,955,4.8,218,1782
10000,23,8912,4740,23.7,1088,8912
20000,23,17903,8435,42.2,2097,17903
40000,23,35925,15436,77.2,4075,35925
60000,23,53795,22652,113.3,6205,53795
80000,23,71938,33541,167.7,8062,71938
100000,23,89782,42407,212.0,10218,89782
2,24,2,1,0.0,0,2
3,24,3,1,0.0,0,3
100,24,86,51,0.3,14,86
200,24,178,82,0.4,22,178
2000,24,1819,945,4.7,181,1819
10000,24,8940,4177,20.9,1060,8940
20000,24,18011,8583,42.9,1989,18011
40000,24,35995,19558,97.8,4005,35995
60000,24,53865,23125,115.6,6135,53865
80000,24,71812,36014,180.1,8188,71812
100000,24,89833,38187,190.9,10167,89833
2,25,2,1,0.0,0,2
3,25,3,1,0.0,0,3
100,25,92,50,0.3,8,92
200,25,171,83,0.4,29,171
2000,25,1798,1085,5.4,202,1798
10000,25,8953,4873,24.4,1047,8953
20000,25,17975,10375,51.9,2025,17975
40000,25,35949,17977,89.9,4051,35949
60000,25,53877,22249,111.2,6123,53877
80000,25,71813,33247,166.2,8187,71813
100000,25,89607,38011,190.1,10393,89607
2,26,2,1,0.0,0,2
3,26,3,1,0.0,0,3
100,26,85,42,0.2,15,85
200,26,187,95,0.5,13,187
2000,26,1797,915,4.6,203,1797
10000,26,8945,4485,22.4,1055,8945
20000,26,17918,8436,42.2,2082,17918
40000,26,35925,18226,91.1,4075,35925
60000,26,53843,20845,104.2,6157,53843
80000,26,71844,36480,182.4,8156,71844
100000,26,89936,39392,197.0,10064,89936
2,27,2,1,0.0,0,2
3,27,2,1,0.0,1,2
100,27,89,54,0.3,11,89
200,27,181,77,0.4,19,181
2000,27,1797,804,4.0,203,1797
10000,27,8997,5602,28.0,1003,8997
20000,27,17894,9156,45.8,2106,17894
40000,27,35999,16665,83.3,4001,35999
60000,27,53937,24682,123.4,6063,53937
80000,27,71880,26887,134.4,8120,71880
100000,27,89764,38921,194.6,10236,89764
2,28,2,1,0.0,0,2
3,28,2,1,0.0,1,2
100,28,91,46,0.2,9,91
200,28,176,106,0.5,24,176
2000,28,1803,1168,5.8,197,1803
10000,28,8981,4875,24.4,1019,8981
20000,28,17908,7683,38.4,2092,17908
40000,28,36013,15341,76.7,3987,36013
60000,28,53871,21748,108.7,6129,53871
80000,28,71753,40148,200.7,8247,71753
100000,28,89761,37687,188.4,10239,89761
2,29,1,1,0.0,1,1
3,29,2,1,0.0,1,2
100,29,82,40,0.2,18,82
200,29,182,90,0.5,18,182
2000,29,1802,1046,5.2,198,1802
10000,29,8983,5579,27.9,1017,8983
20000,29,17969,10879,54.4,2031,17969
40000,29,35897,18671,93.4,4103,35897
60000,29,53888,25253,126.3,6112,53888
80000,29,71873,39561,197.8,8127,71873
100000,29,89862,37478,187.4,10138,89862
2,30,2,1,0.0,0,2
3,30,3,1,0.0,0,3
100,30,96,53,0.3,4,96
200,30,182,86,0.4,18,182
2000,30,1807,938,4.7,193,1807
10000,30,8981,4304,21.5,1019,8981
20000,30,17972,9653,48.3,2028,17972
40000,30,36002,19314,96.6,3998,36002
60000,30,53781,19978,99.9,6219,53781
80000,30,71862,31689,158.4,8138,71862
100000,30,89784,39299,196.5,10216,89784
2,31,2,1,0.0,0,2
3,31,3,1,0.0,0,3
100,31,92,42,0.2,8,92
200,31,184,82,0.4,16,184
2000,31,1788,991,5.0,212,1788
10000,31,8986,4281,21.4,1014,8986
20000,31,17927,8384,41.9,2073,17927
40000,31,35827,21198,106.0,4173,35827
60000,31,53958,30235,151.2,6042,53958
80000,31,71818,34335,171.7,8182,71818
100000,31,89814,41894,209.5,10186,89814
2,32,2,1,0.0,0,2
3,32,3,1,0.0,0,3
100,32,89,45,0.2,11,89
200,32,188,90,0.5,12,188
2000,32,1785,855,4.3,215,1785
10000,32,8956,4763,23.8,1044,8956
20000,32,17996,8250,41.3,2004,17996
40000,32,35908,15412,77.1,4092,35908
60000,32,53760,18775,93.9,6240,53760
80000,32,71878,29924,149.6,8122,71878
100000,32,89659,37653,188.3,10341,89659
2,33,2,1,0.0,0,2
3,33,3,1,0.0,0,3
100,33,88,38,0.2,12,88
200,33,181,93,0.5,19,181
2000,33,1796,846,4.2,204,1796
10000,33,8980,4574,22.9,1020,8980
20000,33,17976,8962,44.8,2024,17976
40000,33,35953,14586,72.9,4047,35953
60000,33,53913,24598,123.0,6087,53913
80000,33,71868,30039,150.2,8132,71868
100000,33,89653,37262,186.3,10347,89653
2,34,2,1,0.0,0,2
3,34,3,1,0.0,0,3
100,34,92,50,0.3,8,92
200,34,175,80,0.4,25,175
2000,34,1807,809,4.0,193,1807
10000,34,8988,4113,20.6,1012,8988
20000,34,17991,7902,39.5,2009,17991
40000,34,35870,15849,79.2,4130,35870
60000,34,53839,26803,134.0,6161,53839
80000,34,72006,29470,147.3,7994,72006
100000,34,89796,42500,212.5,10204,89796
2,35,1,1,0.0,1,1
3,35,2,1,0.0,1,2
100,35,82,63,0.3,18,82
200,35,183,106,0.5,17,183
2000,35,1790,960,4.8,210,1790
10000,35,8964,4287,21.4,1036,8964
20000,35,17943,9517,47.6,2057,17943
40000,35,35893,14998,75.0,4107,35893
60000,35,53933,25520,127.6,6067,53933
80000,35,71969,34204,171.0,8031,71969
100000,35,89861,35362,176.8,10139,89861
2,36,1,1,0.0,1,1
3,36,3,1,0.0,0,3
100,36,89,45,0.2,11,89
200,36,184,101,0.5,16,184
2000,36,1798,814,4.1,202,1798
10000,36,8990,3852,19.3,1010,8990
20000,36,17995,10333,51.7,2005,17995
40000,36,35965,16793,84.0,4035,35965
60000,36,53811,21118,105.6,6189,53811
80000,36,71835,31744,158.7,8165,71835
100000,36,89881,37354,186.8,10119,89881
2,37,2,1,0.0,0,2
3,37,3,1,0.0,0,3
100,37,83,47,0.2,17,83
200,37,179,98,0.5,21,179
2000,37,1798,1202,6.0,202,1798
10000,37,8992,5383,26.9,1008,8992
20000,37,18008,9578,47.9,1992,18008
40000,37,35807,19106,95.5,4193,35807
60000,37,53832,27418,137.1,6168,53832
80000,37,71690,27334,136.7,8310,71690
100000,37,89640,36410,182.0,10360,89640
2,38,2,1,0.0,0,2
3,38,3,1,0.0,0,3
100,38,88,58,0.3,12,88
200,38,178,80,0.4,22,178
2000,38,1782,1118,5.6,218,1782
10000,38,8967,5051,25.3,1033,8967
20000,38,17941,10580,52.9,2059,17941
40000,38,36023,16230,81.1,3977,36023
60000,38,53784,19493,97.5,6216,53784
80000,38,71680,35171,175.9,8320,71680
100000,38,89799,42429,212.1,10201,89799
2,39,2,1,0.0,0,2
3,39,3,1,0.0,0,3
100,39,89,55,0.3,11,89
200,39,180,100,0.5,20,180
2000,39,1790,900,4.5,210,1790
10000,39,8967,4518,22.6,1033,8967
20000,39,17969,9602,48.0,2031,17969
40000,39,35918,18787,93.9,4082,35918
60000,39,53946,23094,115.5,6054,53946
80000,39,71814,31917,159.6,8186,71814
100000,39,89737,37832,189.2,10263,89737
2,40,2,1,0.0,0,2
3,40,3,1,0.0,0,3
100,40,88,50,0.3,12,88
200,40,183,120,0.6,17,183
2000,40,1819,934,4.7,181,1819
10000,40,8952,4420,22.1,1048,8952
20000,40,17981,9952,49.8,2019,17981
40000,40,36089,16093,80.5,3911,36089
60000,40,53893,23941,119.7,6107,53893
80000,40,71797,31099,155.5,8203,71797
100000,40,89728,36935,184.7,10272,89728
2,41,1,1,0.0,1,1
3,41,3,1,0.0,0,3
100,41,91,46,0.2,9,91
200,41,185,96,0.5,15,185
2000,41,1779,958,4.8,221,1779
10000,41,9017,4709,23.5,983,9017
20000,41,17875,9271,46.4,2125,17875
40000,41,35983,17849,89.2,4017,35983
60000,41,54086,23024,115.1,5914,54086
80000,41,71825,31819,159.1,8175,71825
100000,41,89711,47267,236.3,10289,89711
2,42,2,1,0.0,0,2
3,42,3,1,0.0,0,3
100,42,86,45,0.2,14,86
200,42,182,100,0.5,18,182
2000,42,1792,862,4.3,208,1792
10000,42,8949,5468,27.3,1051,8949
20000,42,18000,9476,47.4,2000,18000
40000,42,35895,16299,81.5,4105,35895
60000,42,53956,26369,131.8,6044,53956
80000,42,71982,29469,147.3,8018,71982
100000,42,89682,41478,207.4,10318,89682
2,43,1,1,0.0,1,1
3,43,3,1,0.0,0,3
100,43,87,37,0.2,13,87
200,43,175,94,0.5,25,175
2000,43,1810,897,4.5,190,1810
10000,43,9005,4372,21.9,995,9005
20000,43,18019,9061,45.3,1981,18019
40000,43,35846,16555,82.8,4154,35846
60000,43,53891,24967,124.8,6109,53891
80000,43,72019,33023,165.1,7981,72019
100000,43,89798,39684,198.4,10202,89798
2,44,2,1,0.0,0,2
3,44,3,1,0.0,0,3
100,44,86,42,0.2,14,86
200,44,184,76,0.4,16,184
2000,44,1809,1021,5.1,191,1809
10000,44,8995,4326,21.6,1005,8995
20000,44,17841,9497,47.5,2159,17841
40000,44,35990,20351,101.8,4010,35990
60000,44,53906,23774,118.9,6094,53906
80000,44,71845,39840,199.2,8155,71845
100000,44,89755,42270,211.3,10245,89755
2,45,1,1,0.0,1,1
3,45,2,1,0.0,1,2
100,45,88,45,0.2,12,88
200,45,171,109,0.5,29,171
2000,45,1790,1083,5.4,210,1790
10000,45,9003,3907,19.5,997,9003
20000,45,18017,7823,39.1,1983,18017
40000,45,35945,14216,71.1,4055,35945
60000,45,53832,21075,105.4,6168,53832
80000,45,71907,37028,185.1,8093,71907
100000,45,89847,33872,169.4,10153,89847
2,46,2,1,0.0,0,2
3,46,3,1,0.0,0,3
100,46,89,55,0.3,11,89
200,46,180,100,0.5,20,180
2000,46,1794,980,4.9,206,1794
10000,46,8950,4118,20.6,1050,8950
20000,46,17914,5601,28.0,2086,17914
40000,46,35822,18869,94.3,4178,35822
60000,46,53873,27618,138.1,6127,53873
80000,46,71544,29162,145.8,8456,71544
100000,46,89574,38394,192.0,10426,89574
2,47,2,1,0.0,0,2
3,47,2,1,0.0,1,2
100,47,88,42,0.2,12,88
200,47,188,86,0.4,12,188
2000,47,1786,1005,5.0,214,1786
10000,47,9039,4490,22.4,961,9039
20000,47,17898,9924,49.6,2102,17898
40000,47,36012,17901,89.5,3988,36012
60000,47,53802,30594,153.0,6198,53802
80000,47,71845,34724,173.6,8155,71845
100000,47,89629,35645,178.2,10371,89629
2,48,2,1,0.0,0,2
3,48,2,2,0.0,1,2
100,48,94,57,0.3,6,94
200,48,188,102,0.5,12,188
2000,48,1773,879,4.4,227,1773
10000,48,8940,4938,24.7,1060,8940
20000,48,17992,8365,41.8,2008,17992
40000,48,35982,17371,86.9,4018,35982
60000,48,53797,24249,121.2,6203,53797
80000,48,71700,28963,144.8,8300,71700
100000,48,89691,41090,205.4,10309,89691
2,49,2,1,0.0,0,2
3,49,2,1,0.0,1,2
100,49,89,45,0.2,11,89
200,49,180,101,0.5,20,180
2000,49,1798,919,4.6,202,1798
10000,49,8962,4670,23.3,1038,8962
20000,49,17984,8443,42.2,2016,17984
40000,49,35950,17309,86.5,4050,35950
60000,49,53805,27594,138.0,6195,53805
80000,49,71731,35000,175.0,8269,71731
100000,49,89767,35161,175.8,10233,89767
2,50,2,1,0.0,0,2
3,50,3,1,0.0,0,3
100,50,88,39,0.2,12,88
200,50,184,100,0.5,16,184
2000,50,1795,993,5.0,205,1795
10000,50,8947,4889,24.4,1053,8947
20000,50,18000,8573,42.9,2000,18000
40000,50,35939,17791,89.0,4061,35939
60000,50,53944,24279,121.4,6056,53944
80000,50,71859,26827,134.1,8141,71859
100000,50,89773,42886,214.4,10227,89773
